CRFSECTION,VARNUM,NAME,TYPE,FORMAT,LABEL
8.1,301,MAT_COMP20,1,YNM10FMT,Maternal Complications: Prior Cesarean V10
8.1,302,MAT_COMP21,1,YNM10FMT,Maternal Complications: UTI V10
8.1,303,MAT_COMP22,1,YNM10FMT,Maternal Complications: Other V10
8.1,304,MAT_RECCUR,1,MATRECENTCURRENT4F,Recently delivered or currently pregnant V10
8.1,305,MAT_NFETUS,1,MATNUMFETUS4F,Number of fetuses V10
8.1,306,MAT_GRAV,1,,Total # of pregnancies (gravida) V10
8.1,307,MAT_PAR,1,,Total # of deliveries (parity) V10
8.1,308,MAT_LLUD,1,MATLLUD4F,Left lateral uterine displacement: V10
8.1,309,MAT_LLUDMETH,1,MATLLUDMETHOD4F,Maternal LLUD method V10
8.1,310,MAT_NEO,1,MATNEONATAL4F,Neonatal outcome V10
8.1,311,MAT_1MIN,1,,1 minute Apgar score V10
8.1,312,MAT_5MIN,1,,5 minute Apgar score V10
8.1,313,MAT_CPANB,1,MATCPANEWBORN4F,CPA event completed for the newborn V10
8.1,314,MAT_1MINUNK,1,,1 minute Apgar not known/not doc V10
8.1,315,MAT_5MINUNK,1,,5 minute Apgar not knownm/not doc V10
8.1,316,MAT_DELIVERYND,1,,Delivery Date/Time ND V10
8.1,317,MAT_DUEDATEND,1,,EDC/Due Date ND V10
8.1,318,MAT_LLUDTIMEND,1,,LLUD time not documented V10
8.1,319,MAT_DEL_DTM,1,DATETIME20,Delivery date/time V10
8.1,320,MAT_DEL_DT,1,MMDDYY10,Delivery date V10
8.1,321,MAT_DUE_DT,1,MMDDYY10,EDC/Due date V10
8.1,322,MAT_GRAVUNK,1,,Gravida not documented V10
8.1,323,MAT_PARUNK,1,,Parity not documented V10
8.1,324,MAT_DELMODE,1,MATDELIVERYMODE4F,Maternal delivery mode V10
8.1,325,MAT_LLUD_DTM,1,DATETIME20,LLUD date/time V10
8.1,326,MAT_LLUD_DT,1,MMDDYY10,LLUD date V10
8.1,327,MAT_UNDEL,1,MATUNDELIVERED4F,Neonatal outcome undelivered V10
8.1,328,MAT_GESAGE,1,,
99,331,INDEX_EVT,1,YN10SIMP,"1:Yes, 0:No, First CPA event in Admission"
99,332,NPLSSEQ,1,,
99,333,INDEX_PLS,1,YN10SIMP,"1:Yes, 0:No, First Pulseless CPA event in Admission"
99,334,DUR_EVTM,1,,Event Duration (minutes)
99,335,EVT_HR,1,,Hour of event
99,336,DYSU1SA7,1,DOW,"Day of Week (1=Sun, ,7=Sat)"
99,337,WEEKEND,1,YN10SIMP,"1:Yes, 0:No, Weekend (Fri 11pm - Mon 7am) event"
99,338,TOD,1,TODF,"Time of Day (1=Daytime, 2=Nighttime)"
99,339,HOLIDAY,1,YN10SIMP,"1:Yes, 0:No, Event occurred on US Holiday?"
99,340,WEHOL,1,YN10SIMP,"1:Yes, 0:No, Weekend or holiday event?"
99,341,SURV_EVT,1,YN10SIMP,"1:Yes, 0:No, survived CPA event"
99,342,SURV_ALL,1,YN10SIMP,"1:Yes, 0:No, survived All CPA events in Admission"
99,343,SURV_24H,1,YN10SIMP,"1:Yes, 0:No, survived 24h from start of index CPA event"
99,344,SURV_DIS,1,YN10SIMP,"1:Yes, 0:No, survived to discharge"
99,345,RHYCARD1,1,RHYCARD,Cardiac Rhythm when need for chest compress/defib was first identified
99,346,RHYUTSTN,1,RHYCARD,Cardiac Rhythm when first documented pulseless
99,347,FLAGMISS,1,,1: Observation is systematically missing all pre-existing conditions or interventio
